scientific_name,fg,resolver
Acteocina canaliculata,Mobile,Acteocina canaliculata
Aetea sica,Encrusting bryozoan,Aetea sica
Aiptasia pallida,Anemone,Aiptasia pallida
Alpheus sp,Mobile,Alpheus
Amathia alternata,Arborescent bryozoan,Amathia alternata
Amathia distans,Arborescent bryozoan,Amathia distans
Amathia gracilis,Arborescent bryozoan,Amathia gracilis
Amathia verticillata,Arborescent bryozoan,Amathia verticillata
Amathia vidocici,Arborescent bryozoan,Amathia vidocici
Ampelisca sp,Mobile,Ampelisca
Amphibalanus eburneus,Barnacles,Amphibalanus eburneus
Amphibalanus reticulatus,Barnacles,Amphibalanus reticulatus
Amphibalanus spp,Barnacles,Amphibalanus
Amphibalanus spp DEAD,Barnacles,Amphibalanus
Amphibalanus spp LIVE,Barnacles,Amphibalanus
Amphibalanus spp TOTAL,Barnacles,Amphibalanus
Amphibalanus venustus,Barnacles,Amphibalanus venustus
Amphipod tubes,Amphipod tubes,
Amphithoe longimana,Mobile,Amphithoe longimana
Amphithoe ramondi,Mobile,Amphithoe ramondi
Amphithoe sp,Mobile,Amphithoe
Amygdalum papyrium,Mussel,Amygdalum papyrium
Anadara transversa,Other bivalves,Anadara transversa
Anemone,Anemone,
Anguinella palmata,Arborescent bryozoan,Anguinella palmata
Anomia simplex,Other bivalves,Anomia simplex
Aplidium antillense,Colonial ascidian,Aplidium antillense
Aplidium sp,Colonial ascidian,Aplidium
Arabella sp,Other polychaetes,Arabella
Arcuatula papyria,Mussel,Arcuatula papyria
Armandia maculata,Mobile,Armandia maculata
Ascidia archaia,Solitary ascidian,Ascidia archaia
Ascidia curvata,Solitary ascidian,Ascidia curvata
Ascidia sp,Solitary ascidian,Ascidia
Ascidia sydneiensis,Solitary ascidian,Ascidia sydneiensis
Astyris lunata,Mobile,Astyris lunata
Balanus trigonus,Barnacles,Balanus trigonus
Barentsia benedeni,Kamptozoa,Barentsia benedeni
Barnacles,Barnacles,
Biemna caribea,Sponge,Biemna caribea
Bispira brunnea,Sabellid,Bispira brunnea
Bittium variabilis,Mobile,Bittium variabilis
Boonea impressa,Mobile,Boonea impressa
Botrylloides nigrum,Colonial ascidian,Botrylloides nigrum
Botryllus planus,Colonial ascidian,Botryllus planus
Botryllus schlosseri,Colonial ascidian,Botryllus schlosseri
Botryllus sp,Colonial ascidian,Botryllus
Botryllus sp nov,Colonial ascidian,Botryllus
Bougainvillia carolinensis,Hydroid,Bougainvillia carolinensis
Bowerbankia gracilis,Encrusting bryozoan,Bowerbankia gracilis
Brachidontes exustus,Mussel,Brachidontes exustus
Branchiomma bairdi,Sabellid,Branchiomma bairdi
Branchiomma nigromaculatum,Sabellid,Branchiomma nigromaculatum
Branchiosyllis exilis,Mobile,Branchiosyllis exilis
Bryozoa,Encrusting bryozoan,Bryozoa
Bugula neritina,Arborescent bryozoan,Bugula neritina
Bugula stolonifera,Arborescent bryozoan,Bugula stolonifera
Bulla striata,Mobile,Bulla striata
Caecum floridanum,Mobile,Caecum floridanum
Caecum sp,Mobile,Caecum
Callinectes sapidus,Mobile,Callinectes sapidus
Caprella equilibra,Mobile,Caprella equilibra
Caprella penantis,Mobile,Caprella penantis
Caridea,Mobile,Caridea
Catenicella uberrima,Arborescent bryozoan,Catenicella uberrima
Caulibugula armata,Arborescent bryozoan,Caulibugula armata
Celleporaria brunnea,Encrusting bryozoan,Celleporaria brunnea
Celleporaria sherryae,Encrusting bryozoan,Celleporaria sherryae
Celleporaria sp,Encrusting bryozoan,Celleporaria
Cerapus cudjoe,Amphipod tubes,Cerapus cudjoe
Ceratonereis mirabilis,Mobile,Ceratonereis mirabilis
Cerithium lutosum,Mobile,Cerithium lutosum
Chthamalus fragilis,Barnacles,Chthamalus fragilis
Ciocalypta sp,Sponge,Ciocalypta
Circulus liratus,Mobile,Circulus liratus
Cirriformia filigera,Other polychaetes,Cirriformia filigera
Clathrina sp,Sponge,Clathrina
Clavelina oblonga,Colonial ascidian,Clavelina oblonga
Clavelina picta,Colonial ascidian,Clavelina picta
Cnidaria,Hydroid,Cnidaria
Conopeum chesapeakensis,Encrusting bryozoan,Conopeum chesapeakensis
Conopeum tenuissimum,Encrusting bryozoan,Conopeum tenuissimum
Costoanachis avara,Mobile,Costoanachis avara
Cradoscrupocellaria atlantica,Arborescent bryozoan,Cradoscrupocellaria atlantica
Cradoscrupocellaria bertholletii,Arborescent bryozoan,Cradoscrupocellaria bertholletii
Crassostrea virginica,Oyster,Crassostrea virginica
Crepidula atrasolea,Crepidula,Crepidula atrasolea
Crepidula depressa,Crepidula,Crepidula depressa
Crepidula sp,Crepidula,Crepidula
Crisia eburnea,Arborescent bryozoan,Crisia eburnea
Cumacea,Mobile,Cumacea
Cymadusa cf compta,Amphipod tubes,Cymadusa
Cymatium sp,Mobile,Cymatium
Decapoda,Mobile,Decapoda
Decopoda,Mobile,Decopoda
Didemnidae,Colonial ascidian,Didemnidae
Didemnum perlucidum,Colonial ascidian,Didemnum perlucidum
Didemnum psammatodes,Colonial ascidian,Didemnum psammatodes
Didemnum sp,Colonial ascidian,Didemnum
Diplosoma glandulosum,Colonial ascidian,Diplosoma glandulosum
Diplosoma listerianum,Colonial ascidian,Diplosoma listerianum
Diplosoma sp,Colonial ascidian,Diplosoma
Diplosoma spongiforme,Colonial ascidian,Diplosoma spongiforme
Distaplia bermudensis,Colonial ascidian,Distaplia bermudensis
Dorvillia sp,Other polychaetes,Dorvillia
Duetella incerta,Amphipod tubes,Duetella incerta
Dulichiella appendiculata,Amphipod tubes,Dulichiella appendiculata
Ecteinascidia turbinata,Colonial ascidian,Ecteinascidia turbinata
Elasmopus cf rapax,Amphipod tubes,Elasmopus
Elasmopus nkjaf,Amphipod tubes,Elasmopus nkjaf
Elasmopus pectenicrus,Amphipod tubes,Elasmopus pectenicrus
Elasmopus sp B (LeCroy),Amphipod tubes,Elasmopus
Ericthonius brasiliensis,Amphipod tubes,Ericthonius brasiliensis
Eteone sp,Mobile,Eteone
Eudendrium carneum,Hydroid,Eudendrium carneum
Eudendrium sp,Hydroid,Eudendrium
Eudistoma capsulatum,Colonial ascidian,Eudistoma capsulatum
Eudistoma olivaceum,Colonial ascidian,Eudistoma olivaceum
Eudistoma sp,Colonial ascidian,Eudistoma
Eudistoma sp nov,Colonial ascidian,Eudistoma
Eunice macrobranchia,Mobile,Eunice macrobranchia
Eurydice littoralis,Mobile,Eurydice littoralis
