partner_code,site_code,site_name,habitat,latitude,longitude
IRL-KYF,CES-001,Cuan Eamonn Seagrass,seagrass,52.29481,-9.88769
IRL-KYF,FIT-001,Fenit Island Tombolo Seagrass,seagrass,52.27976,-9.87739
