partner_code,site_code,site_name,habitat,latitude,longitude
USA-ALD,GPM-001,Grand Point Marsh,salt marsh,30.3617,-88.20618
USA-ALD,RIM-001,Rabbit Island Marsh,salt marsh,30.29998,-87.45912
USA-ALD,RIS-001,Rabbit Island Seagrass,seagrass,30.29992,-87.45903
USA-ALD,RIS-002,Robinson Island Seagrass,seagrass,30.28393,-87.54913
USA-ALD,WPA-001,West Point aux Pins Marsh,salt marsh,30.37814,-88.31097
USA-ALD,WPA-002,West Point aux Pins Seagrass,seagrass,30.37814,-88.31097
USA-ALD,RIP-001,Rabbit Island Panels,NA,NA,NA
USA-ALD,DIP-001,Dauphin Island Pier,artificial,NA,NA
USA-ALD,PAP-001,Point Aux Pins Panels,NA,NA,NA
