partner_code,site_code,site_name,habitat,latitude,longitude
CHI-HKG,PNS-001,Pak Nai Seagrass,seagrass,,
CHI-HKG,HPN-001,Ha Pak Nai Seagrass,seagrass,,
CHI-HKG,STS-002,San Tau 2 Seagrass,seagrass,,
CHI-HKG,YOS-001,Yam O Seagrass,seagrass,,
