partner_code,site_code,site_name,habitat,latitude,longitude
BRA-SSC,BVS-001,Barra Velha Seagrass,seagrass,-23.81398,-45.37132
BRA-SSC,GAS-001,Garapocaia Seagrass,seagrass,-23.74903,-45.34911
BRA-SSC,SES-001,Segredo Seagrass,seagrass,-23.828546,-45.422627
