partner_code,site_code,site_name,habitat,latitude,longitude
CAN-BCC,KRR-001,Koeye Rocky Reef,rocky reef,NA,NA
CAN-BCC,KOS-001,Koeye Seagrass,seagrass,NA,NA
CAN-BCC,PBS-001,Pruth Bay Seagrass,seagrass,51.64535,-128.11947333333333
CAN-BCC,CPS-001,Choked Pass Seagrass,seagrass,NA,NA
CAN-BCC,TRK-001,Triquet Kelp,kelp,NA,NA
CAN-BCC,RAK-001,Ratatouille Kelp,kelp,NA,NA
CAN-BCC,TRK-002,Triquetta Kelp,kelp,NA,NA
