partner_code,site_code,site_name,habitat,latitude,longitude
USA-IRL,JIO-001,Jack Island Oyster,oyster reef,27.48848,-80.314938
USA-IRL,WIO-001,Wildcat 1 Oyster,oyster reef,27.493861,-80.305234
USA-IRL,WIO-002,Wildcat 2 Oyster,oyster reef,27.491336,-80.30642
USA-IRL,HBS-001,Harbor Branch Seagrass,seagrass,27.536658666666668,-80.349261
USA-IRL,RIS-003,Round Island Seagrass,seagrass,27.56016,-80.339456
USA-IRL,BPS-001,Bear Point Seagrass,seagrass,27.442255,-80.297287
USA-IRL,WIA-001,Wildcat Artificial,artificial,NA,NA
USA-IRL,CCA-001,Causeway Cove Artificial,artificial,NA,NA
USA-IRL,INA-001,Inlet Artifical,artificial,NA,NA
USA-IRL,SMD-001,SMS Dock,artificial,NA,NA
