partner_code,site_name,habitat,latitude,longitude
BLZ-CBC,Carrie Bow Patch Reef,coral reef,16.771,-88.1636
BLZ-CBC,CBC Reef Central,coral reef,16.802,-88.0788
BLZ-CBC,CBC 30 North,coral reef,16.804,-88.079
BLZ-CBC,CBC Lagoon Reef,coral reef,16.809,-88.0862
BLZ-CBC,CBC House Reef,coral reef,16.801,-88.0831
BLZ-CBC,Carrie Bow Cut Sand,NA,16.8,-88.0803
BLZ-CBC,South Reef Central,coral reef,16.78,-88.0767
BLZ-CBC,Tobacco Reef,coral reef,16.868,-88.0662
BLZ-CBC,Blueground Mangrove,mangrove,16.808,-88.0662
BLZ-CBC,Carrie Bow Sand,bare sediment,16.809,-88.0884
BLZ-CBC,CBC Seagrass,seagrass,16.8025,-88.0825
BLZ-CBC,Curlew Patch Reef,coral reef,16.78,-88.1012
BLZ-CBC,Curlew Sand,bare sediment,16.787,-88.0938
BLZ-CBC,Curlew Seagrass,seagrass,16.78728,-88.0851
BLZ-CBC,Curlew Bank,NA,16.79,-88.0824
BLZ-CBC,Tobacco Mangrove,mangrove,16.879,-88.0926
BLZ-CBC,Tobacco Sand,bare sediment,16.884,-88.0734
BLZ-CBC,Tobacco Seagrass,seagrass,16.874,-88.0938
BLZ-CBC,Twin Cays Mangrove,mangrove,16.829,-88.1048
BLZ-CBC,Twin Cays Seagrass,seagrass,16.82385,-88.1028
BLZ-CBC,South Reef 30 North,coral reef,16.77986667,-88.07665
