partner_code,site_code,site_name,habitat,latitude,longitude
SAU-RSK,MOS-001,Monument Seagrass,seagrass,NA,NA
SAU-RSK,AWS-001,Awwam Seagrass,seagrass,NA,NA
SAU-RSK,TNS-001,Tahla North Seagrass,seagrass,NA,NA
