partner_code,site_code,site_name,habitat,latitude,longitude
USA-VAY,HCO-001,Hill Crest Oyster,oyster reef,37.2766561,-75.9040602
USA-VAY,RCO-001,Running Channel Oyster,oyster reef,37.2774926,-75.8526991
USA-VAY,MAB-001,Man and Boy Oyster,oyster reef,37.2739294,-75.8284413
USA-VAY,WPS-001,Ware Point South Seagrass,seagrass,37.368933,-76.411268
USA-VAY,AIS-001,Allens Island Seagrass,seagrass,37.253458,-76.429075
USA-VAY,GMS-001,Guinea Marsh Seagrass,seagrass,37.267332,-76.363293
