partner_code,partner_name,institution,country,partner_type
PER-CCP,"Central Coast, Peru",Smithsonian Conservation Biology Institute,Peru,observatory
USA-LJC,USA-LJC Project Partner,NA,USA,project
BLZ-CBC,"Carrie Bow Cay, Belize",Carrie Bow Cay field station Belize,Belize,observatory
PAN-BDT,"Bocas del Toro, Panama",Smithsonian Tropical Research Station,Panama,observatory
USA-ALD,"Dauphin Island, USA",Dauphin Island Sea Lab,USA,observatory
USA-IRL,"Indian River Lagoon, USA",Smithsonian Marine Station,USA,observatory
USA-LIS,"Long Island Sound, USA",Stony Brook University,USA,observatory
USA-MDA,"Upper Chesapeake Bay, USA",Smithsonian Environmental Research Center,USA,observatory
USA-VAY,"Lower Chesapeake Bay, USA",Virginia Institute of Marine Sceince,USA,observatory
CAN-BCC,"British Columbia, Canada",Hakai Institute,Canada,observatory
USA-TXS,"Gulf Coast, Texas, USA",Texas A&M University Corpus Christi,USA,observatory
POR-MAD,"Madeira Island, Portugal",MARE â€“ Marine and Environmental Sciences Centre,Portugal,observatory
TUN-MON,"Monastir Bay, Tunisia",Notre Grand Bleu,Tunisia,observatory
AUS-COR,AUS-COR Project Partner,NA,Australia,project
AUS-FNQ,AUS-FNQ Project Partner,NA,Australia,project
AUS-PRB,AUS-PRB Project Partner,NA,Australia,project
AUS-SEQ,AUS-SEQ Project Partner,NA,Australia,project
AUS-USC,AUS-USC Project Partner,NA,Australia,project
CHL-CQB,CHL-CQB Project Partner,Universidad Catolica del Norte,Chile,project
FIN-GOF,FIN-GOF Project Partner,NA,Finland,project
FRA-SUD,FRA-SUD Project Partner,NA,France,project
HRV-ZAD,HRV-ZAD Project Partner,NA,Croatia,project
IDN-SIR,IDN-SIR Project Partner,NA,Indonesia,project
IRL-DUB,IRL-DUB Project Partner,NA,Ireland,project
KOR-DDB,KOR-DDB Project Partner,NA,Korea,project
MDG-RGN,MDG-RGN Project Partner,NA,Madagascar,project
MDV-OIL,MDV-OIL Project Partner,NA,Maldives,project
MEX-ENS,MEX-ENS Project Partner,NA,Mexico,project
MEX-PUM,MEX-PUM Project Partner,NA,Mexico,project
NOR-ROV,NOR-ROV Project Partner,NORD University,Norway,project
PHL-PBT,PHL-PBT Project Partner,Mindanao State University Tawi-Tawi,Philippines,project
SWE-KAT,SWE-KAT Project Partner,Uppsala University,Sweden,project
USA-AKA,USA-AKA Project Partner,NA,USA,project
USA-HAT,USA-HAT Project Partner,NA,USA,project
USA-NCC,USA-NCC Project Partner,NA,USA,project
USA-NCT,USA-NCT Project Partner,NA,USA,project
USA-ORC,USA-ORC Project Partner,NA,USA,project
USA-VAS,USA-VAS Project Partner,NA,USA,project
USA-WAR,USA-WAR Project Partner,NA,USA,project
VEN-LCO,VEN-LCO Project Partner,NA,Venezuela,project
USA-SFB,San Francisco Bay,NA,USA,observatory
BRA-SSC,São Sebastião Channel,CEBIMAR,Brazil,observatory
CAN-SLR,"St. Lawrence River, Canada",,Canada,observatory
USA-GAL,,,USA,observatory
USA-DEB,,,USA,observatory
SAU-KAU,"Red Sea, Saudi Arabia",KAUST,Saudi Arabia,observatory
