from,to,node_name,rank,definition,tree_name
APHIA:130372,FUNCTIONAL:MOBILE,Ceratonereis mirabilis,NA,NA,fouling
APHIA:419522,FUNCTIONAL:MOBILE,Cerithium lutosum,NA,NA,fouling
APHIA:160203,FUNCTIONAL:MOBILE,Circulus liratus,NA,NA,fouling
APHIA:160222,FUNCTIONAL:MOBILE,Costoanachis avara,NA,NA,fouling
APHIA:1137,FUNCTIONAL:MOBILE,Cumacea,NA,NA,fouling
APHIA:138426,FUNCTIONAL:MOBILE,Cymatium sp,NA,NA,fouling
APHIA:1130,FUNCTIONAL:MOBILE,Decapoda,NA,NA,fouling
UNDEFINED:DECOPODA,FUNCTIONAL:MOBILE,Decopoda,NA,NA,fouling
APHIA:129443,FUNCTIONAL:MOBILE,Eteone sp,NA,NA,fouling
APHIA:333326,FUNCTIONAL:MOBILE,Eunice macrobranchia,NA,NA,fouling
APHIA:256604,FUNCTIONAL:MOBILE,Eurydice littoralis,NA,NA,fouling
APHIA:158416,FUNCTIONAL:MOBILE,Eurypanopeus depressus,NA,NA,fouling
UNDEFINED:EXOCORALLANA_CF_TRICORNIS,FUNCTIONAL:MOBILE,Exocorallana cf tricornis,NA,NA,fouling
APHIA:333453,FUNCTIONAL:MOBILE,Exogone dispar,NA,NA,fouling
APHIA:101537,FUNCTIONAL:MOBILE,Gammarus sp,NA,NA,fouling
FUNCTIONAL:GASTROPOD_EGGS,FUNCTIONAL:MOBILE,Gastropod eggs,NA,NA,fouling
APHIA:101,FUNCTIONAL:MOBILE,Gastropoda,NA,NA,fouling
APHIA:211405,FUNCTIONAL:MOBILE,Grandidierella bonnieroides,NA,NA,fouling
APHIA:420524,FUNCTIONAL:MOBILE,Haminoea antillarum,NA,NA,fouling
APHIA:129491,FUNCTIONAL:MOBILE,Harmothoe sp,NA,NA,fouling
APHIA:158424,FUNCTIONAL:MOBILE,Hexapanopeus angustifrons,NA,NA,fouling
UNDEFINED:HIPPOLYTE_PLEURACANTHUS,FUNCTIONAL:MOBILE,Hippolyte pleuracanthus,NA,NA,fouling
APHIA:123083,FUNCTIONAL:MOBILE,Holothuroidea,NA,NA,fouling
APHIA:421444,FUNCTIONAL:MOBILE,Hourstonius laguna,NA,NA,fouling
APHIA:101571,FUNCTIONAL:MOBILE,Jassa cf slatteryi,NA,NA,fouling
APHIA:422677,FUNCTIONAL:MOBILE,Lembos unifasciatus,NA,NA,fouling
APHIA:136235,FUNCTIONAL:MOBILE,Leptochelia rapax complex,NA,NA,fouling
APHIA:389832,FUNCTIONAL:MOBILE,Leucothoe ashleyae,NA,NA,fouling
APHIA:107335,FUNCTIONAL:MOBILE,Libinia dubia,NA,NA,fouling
APHIA:129337,FUNCTIONAL:MOBILE,Lumbrineris sp,NA,NA,fouling
APHIA:158036,FUNCTIONAL:MOBILE,Lysianopsis alba,NA,NA,fouling
UNDEFINED:MAERA_MIRANDA,FUNCTIONAL:MOBILE,Maera miranda,NA,NA,fouling
UNDEFINED:MAJIIDAE,FUNCTIONAL:MOBILE,Majiidae,NA,NA,fouling
APHIA:130075,FUNCTIONAL:MOBILE,Marphysa sanguinea,NA,NA,fouling
APHIA:419905,FUNCTIONAL:MOBILE,Marshallora modesta,NA,NA,fouling
APHIA:160363,FUNCTIONAL:MOBILE,Marshallora nigrocincta,NA,NA,fouling
APHIA:419602,FUNCTIONAL:MOBILE,Meioceras nitidum,NA,NA,fouling
UNDEFINED:MENIPPE_MERCINARIA,FUNCTIONAL:MOBILE,Menippe mercinaria,NA,NA,fouling
APHIA:158428,FUNCTIONAL:MOBILE,Mithrax sp,NA,NA,fouling
APHIA:160395,FUNCTIONAL:MOBILE,Nassarius acutus,NA,NA,fouling
UNDEFINED:NEANTHES_SUCCINEA,FUNCTIONAL:MOBILE,Neanthes succinea,NA,NA,fouling
APHIA:152391,FUNCTIONAL:MOBILE,Nemertea,NA,NA,fouling
APHIA:174956,FUNCTIONAL:MOBILE,Neoleprea sp A GofMex,NA,NA,fouling
APHIA:22496,FUNCTIONAL:MOBILE,Nereididae,NA,NA,fouling
UNDEFINED:NERIES_SP,FUNCTIONAL:MOBILE,Neries sp,NA,NA,fouling
UNDEFINED:NERITINA_VIRGINEA,FUNCTIONAL:MOBILE,Neritina virginea,NA,NA,fouling
APHIA:420457,FUNCTIONAL:MOBILE,Odostomia laevigata,NA,NA,fouling
APHIA:123084,FUNCTIONAL:MOBILE,Ophiuroidea,NA,NA,fouling
APHIA:106687,FUNCTIONAL:MOBILE,Paguroidea,NA,NA,fouling
UNDEFINED:PALAEMONETES_SP,FUNCTIONAL:MOBILE,Palaemonetes sp,NA,NA,fouling
APHIA:158436,FUNCTIONAL:MOBILE,Panopeus herbstii,NA,NA,fouling
APHIA:422085,FUNCTIONAL:MOBILE,Panopeus obesus,NA,NA,fouling
APHIA:422086,FUNCTIONAL:MOBILE,Panopeus occidentalis,NA,NA,fouling
APHIA:106937,FUNCTIONAL:MOBILE,Panopeus sp,NA,NA,fouling
UNDEFINED:PARACAPRELLA_TENIUS,FUNCTIONAL:MOBILE,Paracaprella tenius,NA,NA,fouling
APHIA:261817,FUNCTIONAL:MOBILE,Paracerceis caudata,NA,NA,fouling
APHIA:261839,FUNCTIONAL:MOBILE,Paradella dianae,NA,NA,fouling
APHIA:903,FUNCTIONAL:MOBILE,Paraonidae,NA,NA,fouling
APHIA:160440,FUNCTIONAL:MOBILE,Parvanachis obesa,NA,NA,fouling
UNDEFINED:PEDICELLARIA_SP,FUNCTIONAL:MOBILE,Pedicellaria sp,NA,NA,fouling
UNDEFINED:PERICLIMENEUS_S,FUNCTIONAL:MOBILE,Periclimeneus s,NA,NA,fouling
UNDEFINED:PERICLIMENEUS_SP,FUNCTIONAL:MOBILE,Periclimeneus sp,NA,NA,fouling
APHIA:396707,FUNCTIONAL:MOBILE,Petrolisthes armatus,NA,NA,fouling
APHIA:102383,FUNCTIONAL:MOBILE,Photis longicaudata,NA,NA,fouling
APHIA:548675,FUNCTIONAL:MOBILE,Photis sarae,NA,NA,fouling
APHIA:101563,FUNCTIONAL:MOBILE,Photis sp,NA,NA,fouling
APHIA:931,FUNCTIONAL:MOBILE,Phyllodocidae,NA,NA,fouling
APHIA:422105,FUNCTIONAL:MOBILE,Pilumnus sayi,NA,NA,fouling
UNDEFINED:PINNIXA_FLORIDANA,FUNCTIONAL:MOBILE,Pinnixa floridana,NA,NA,fouling
UNDEFINED:PODARKE_SP,FUNCTIONAL:MOBILE,Podarke sp,NA,NA,fouling
APHIA:420149,FUNCTIONAL:MOBILE,Prunum apicinum,NA,NA,fouling
APHIA:1302,FUNCTIONAL:MOBILE,Pycnogonida,NA,NA,fouling
APHIA:421521,FUNCTIONAL:MOBILE,Quadrimaera miranda,NA,NA,fouling
APHIA:107414,FUNCTIONAL:MOBILE,Rhithropanopeus harrisii,NA,NA,fouling
APHIA:160053,FUNCTIONAL:MOBILE,Sinum perspectivum,NA,NA,fouling
APHIA:220727,FUNCTIONAL:MOBILE,Sphaeroma walkeri,NA,NA,fouling
APHIA:103175,FUNCTIONAL:MOBILE,Stenothoe valida,NA,NA,fouling
APHIA:142245,FUNCTIONAL:MOBILE,Stylochus sp,NA,NA,fouling
APHIA:948,FUNCTIONAL:MOBILE,Syllidae,NA,NA,fouling
UNDEFINED:SYNALPHEUS_BREVECARPUS,FUNCTIONAL:MOBILE,Synalpheus brevecarpus,NA,NA,fouling
APHIA:106982,FUNCTIONAL:MOBILE,Synalpheus sp,NA,NA,fouling
APHIA:1133,FUNCTIONAL:MOBILE,Tanaidacea,NA,NA,fouling
UNDEFINED:TRYPANOSYLLUS_SP,FUNCTIONAL:MOBILE,Trypanosyllus sp,NA,NA,fouling
