from,to,scientific_id,type,code,rank,definition,tree_name
Tellininae,Tellinidae,urn:lsid:marinespecies.org:taxname:225468,NA,NA,Subfamily,NA,oyster_density
Macominae,Tellinidae,urn:lsid:marinespecies.org:taxname:225471,NA,NA,Subfamily,NA,oyster_density
Donax,Donacidae,urn:lsid:marinespecies.org:taxname:137906,NA,NA,Genus,NA,oyster_density
Venerinae,Veneridae,urn:lsid:marinespecies.org:taxname:152410,NA,NA,Subfamily,NA,oyster_density
Gemminae,Veneridae,urn:lsid:marinespecies.org:taxname:510754,NA,NA,Subfamily,NA,oyster_density
Myinae,Myidae,urn:lsid:marinespecies.org:taxname:715372,NA,NA,Subfamily,NA,oyster_density
Cryptomyinae,Myidae,urn:lsid:marinespecies.org:taxname:715373,NA,NA,Subfamily,NA,oyster_density
Hiatella,Hiatellidae,urn:lsid:marinespecies.org:taxname:138068,NA,NA,Genus,NA,oyster_density
Pinna,Pinnidae,urn:lsid:marinespecies.org:taxname:138352,NA,NA,Genus,NA,oyster_density
Lima,Limidae,urn:lsid:marinespecies.org:taxname:138125,NA,NA,Genus,NA,oyster_density
Ctenoides,Limidae,urn:lsid:marinespecies.org:taxname:390579,NA,NA,Genus,NA,oyster_density
Cumingia,Semelidae,urn:lsid:marinespecies.org:taxname:156822,NA,NA,Genus,NA,oyster_density
Tagelus,Solecurtidae,urn:lsid:marinespecies.org:taxname:156997,NA,NA,Genus,NA,oyster_density
Solemyinae,Solemyidae,urn:lsid:marinespecies.org:taxname:889626,NA,NA,Subfamily,NA,oyster_density
Chama,Chamidae,urn:lsid:marinespecies.org:taxname:137775,NA,NA,Genus,NA,oyster_density
Modiolinae,Modiolidae,urn:lsid:marinespecies.org:taxname:510724,NA,NA,Subfamily,NA,oyster_density
Pinctada,Margaritidae,urn:lsid:marinespecies.org:taxname:138396,NA,NA,Genus,NA,oyster_density
Dreisseninae,Dreissenidae,urn:lsid:marinespecies.org:taxname:1495377,NA,NA,Subfamily,NA,oyster_density
Heterobranchia,Gastropoda,urn:lsid:marinespecies.org:taxname:14712,NA,NA,Subclass,NA,oyster_density
Neritimorpha,Gastropoda,urn:lsid:marinespecies.org:taxname:156484,NA,NA,Subclass,NA,oyster_density
Vetigastropoda,Gastropoda,urn:lsid:marinespecies.org:taxname:156485,NA,NA,Subclass,NA,oyster_density
Caenogastropoda,Gastropoda,urn:lsid:marinespecies.org:taxname:224570,NA,NA,Subclass,NA,oyster_density
Patellogastropoda,Gastropoda,urn:lsid:marinespecies.org:taxname:382158,NA,NA,Subclass,NA,oyster_density
Crassostrea,Crassostreinae,urn:lsid:marinespecies.org:taxname:138297,NA,NA,Genus,NA,oyster_density
Isognomon alatus,Isognomon,urn:lsid:marinespecies.org:taxname:420736,NA,NA,Species,NA,oyster_density
Ennucula niponica,Ennucula,urn:lsid:marinespecies.org:taxname:506596,NA,NA,Species,NA,oyster_density
Nucula pisum,Nucula,urn:lsid:marinespecies.org:taxname:506660,NA,NA,Species,NA,oyster_density
Anadara transversa,Anadara,urn:lsid:marinespecies.org:taxname:156734,NA,NA,Species,NA,oyster_density
Lunarca ovalis,Lunarca,urn:lsid:marinespecies.org:taxname:420721,NA,NA,Species,NA,oyster_density
Decatopectinini,Pectininae,urn:lsid:marinespecies.org:taxname:393859,NA,NA,Tribe,NA,oyster_density
Aequipectinini,Pectininae,urn:lsid:marinespecies.org:taxname:577989,NA,NA,Tribe,NA,oyster_density
Amusiini,Pectininae,urn:lsid:marinespecies.org:taxname:1150154,NA,NA,Tribe,NA,oyster_density
Mimachlamydini,Pedinae,urn:lsid:marinespecies.org:taxname:393722,NA,NA,Tribe,NA,oyster_density
Anomia simplex,Anomia,urn:lsid:marinespecies.org:taxname:156737,NA,NA,Species,NA,oyster_density
Astarte,Astartinae,urn:lsid:marinespecies.org:taxname:137683,NA,NA,Genus,NA,oyster_density
Cerastodermatini,Lymnocardiinae,urn:lsid:marinespecies.org:taxname:1496553,NA,NA,Tribe,NA,oyster_density
Tellina,Tellininae,urn:lsid:marinespecies.org:taxname:138533,NA,NA,Genus,NA,oyster_density
Angulus,Tellininae,urn:lsid:marinespecies.org:taxname:146491,NA,NA,Genus,NA,oyster_density
Ameritella,Tellininae,urn:lsid:marinespecies.org:taxname:849118,NA,NA,Genus,NA,oyster_density
Macoma,Macominae,urn:lsid:marinespecies.org:taxname:138531,NA,NA,Genus,NA,oyster_density
Austromacoma,Macominae,urn:lsid:marinespecies.org:taxname:879994,NA,NA,Genus,NA,oyster_density
Donax vittatus,Donax,urn:lsid:marinespecies.org:taxname:139604,NA,NA,Species,NA,oyster_density
Chione,Venerinae,urn:lsid:marinespecies.org:taxname:206343,NA,NA,Genus,NA,oyster_density
Gemma,Gemminae,urn:lsid:marinespecies.org:taxname:156802,NA,NA,Genus,NA,oyster_density
Mya,Myinae,urn:lsid:marinespecies.org:taxname:138211,NA,NA,Genus,NA,oyster_density
Sphenia,Cryptomyinae,urn:lsid:marinespecies.org:taxname:138212,NA,NA,Genus,NA,oyster_density
Pinna nobilis,Pinna,urn:lsid:marinespecies.org:taxname:140780,NA,NA,Species,NA,oyster_density
Pinna carnea,Pinna,urn:lsid:marinespecies.org:taxname:420742,NA,NA,Species,NA,oyster_density
Lima scabra,Lima,urn:lsid:marinespecies.org:taxname:582489,NA,NA,Species,NA,oyster_density
Ctenoides scaber,Ctenoides,urn:lsid:marinespecies.org:taxname:420747,NA,NA,Species,NA,oyster_density
Ctenoides scabra,Ctenoides,urn:lsid:marinespecies.org:taxname:505429,NA,NA,Species,NA,oyster_density
Cumingia mutica,Cumingia,urn:lsid:marinespecies.org:taxname:507258,NA,NA,Species,NA,oyster_density
Tagelus plebeius,Tagelus,urn:lsid:marinespecies.org:taxname:157001,NA,NA,Species,NA,oyster_density
Solemya,Solemyinae,urn:lsid:marinespecies.org:taxname:138514,NA,NA,Genus,NA,oyster_density
Chama sarda,Chama,urn:lsid:marinespecies.org:taxname:420819,NA,NA,Species,NA,oyster_density
Modiolus,Modiolinae,urn:lsid:marinespecies.org:taxname:138223,NA,NA,Genus,NA,oyster_density
Pinctada imbricata,Pinctada,urn:lsid:marinespecies.org:taxname:207901,NA,NA,Species,NA,oyster_density
Pinctada longisquamosa,Pinctada,urn:lsid:marinespecies.org:taxname:420734,NA,NA,Species,NA,oyster_density
Mytilopsis,Dreisseninae,urn:lsid:marinespecies.org:taxname:156885,NA,NA,Genus,NA,oyster_density
"""Lower Heterobranchia""",Heterobranchia,urn:lsid:marinespecies.org:taxname:1054700,NA,NA,Infraclass,NA,oyster_density
Euthyneura,Heterobranchia,urn:lsid:marinespecies.org:taxname:1057247,NA,NA,Infraclass,NA,oyster_density
Cycloneritida,Neritimorpha,urn:lsid:marinespecies.org:taxname:1054475,NA,NA,Order,NA,oyster_density
Lepetellida,Vetigastropoda,urn:lsid:marinespecies.org:taxname:1052447,NA,NA,Order,NA,oyster_density
Trochida,Vetigastropoda,urn:lsid:marinespecies.org:taxname:1052448,NA,NA,Order,NA,oyster_density
Neogastropoda,Caenogastropoda,urn:lsid:marinespecies.org:taxname:146,NA,NA,Order,NA,oyster_density
Caenogastropoda incertae sedis,Caenogastropoda,urn:lsid:marinespecies.org:taxname:382204,NA,NA,Order,NA,oyster_density
Littorinimorpha,Caenogastropoda,urn:lsid:marinespecies.org:taxname:382213,NA,NA,Order,NA,oyster_density
Nacellida,Patellogastropoda,urn:lsid:marinespecies.org:taxname:1845968,NA,NA,Order,NA,oyster_density
Crassostrea virginica,Crassostrea,urn:lsid:marinespecies.org:taxname:140657,NA,NA,Species,NA,oyster_density
Nodipecten,Decatopectinini,urn:lsid:marinespecies.org:taxname:138321,NA,NA,Genus,NA,oyster_density
Argopecten,Aequipectinini,urn:lsid:marinespecies.org:taxname:156816,NA,NA,Genus,NA,oyster_density
Euvola,Amusiini,urn:lsid:marinespecies.org:taxname:205700,NA,NA,Genus,NA,oyster_density
Mimachlamys,Mimachlamydini,urn:lsid:marinespecies.org:taxname:236718,NA,NA,Genus,NA,oyster_density
Cerastoderma,Cerastodermatini,urn:lsid:marinespecies.org:taxname:137735,NA,NA,Genus,NA,oyster_density
Angulus texanus,Angulus,urn:lsid:marinespecies.org:taxname:420862,NA,NA,Species,NA,oyster_density
Ameritella mitchelli,Ameritella,urn:lsid:marinespecies.org:taxname:878513,NA,NA,Species,NA,oyster_density
Macoma balthica,Macoma,urn:lsid:marinespecies.org:taxname:141579,NA,NA,Species,NA,oyster_density
Austromacoma constricta,Austromacoma,urn:lsid:marinespecies.org:taxname:880005,NA,NA,Species,NA,oyster_density
Chione cancellata,Chione,urn:lsid:marinespecies.org:taxname:397040,NA,NA,Species,NA,oyster_density
Gemma gemma,Gemma,urn:lsid:marinespecies.org:taxname:156803,NA,NA,Species,NA,oyster_density
Sphenia fragilis,Sphenia,urn:lsid:marinespecies.org:taxname:420973,NA,NA,Species,NA,oyster_density
Solemya pusilla,Solemya,urn:lsid:marinespecies.org:taxname:507129,NA,NA,Species,NA,oyster_density
Modiolus modiolus,Modiolus,urn:lsid:marinespecies.org:taxname:140467,NA,NA,Species,NA,oyster_density
Modiolus americanus,Modiolus,urn:lsid:marinespecies.org:taxname:420705,NA,NA,Species,NA,oyster_density
Mytilopsis leucophaeata,Mytilopsis,urn:lsid:marinespecies.org:taxname:156887,NA,NA,Species,NA,oyster_density
Architectonicoidea,"""Lower Heterobranchia""",urn:lsid:marinespecies.org:taxname:23071,NA,NA,Superfamily,NA,oyster_density
Acteonimorpha,Euthyneura,urn:lsid:marinespecies.org:taxname:1057248,NA,NA,Subterclass,NA,oyster_density
Ringipleura,Euthyneura,urn:lsid:marinespecies.org:taxname:1057249,NA,NA,Subterclass,NA,oyster_density
Tectipleura,Euthyneura,urn:lsid:marinespecies.org:taxname:1057250,NA,NA,Subterclass,NA,oyster_density
Neritoidea,Cycloneritida,urn:lsid:marinespecies.org:taxname:196314,NA,NA,Superfamily,NA,oyster_density
Fissurelloidea,Lepetellida,urn:lsid:marinespecies.org:taxname:156486,NA,NA,Superfamily,NA,oyster_density
Trochoidea,Trochida,urn:lsid:marinespecies.org:taxname:156489,NA,NA,Superfamily,NA,oyster_density
Muricoidea,Neogastropoda,urn:lsid:marinespecies.org:taxname:15138,NA,NA,Superfamily,NA,oyster_density
Conoidea,Neogastropoda,urn:lsid:marinespecies.org:taxname:15140,NA,NA,Superfamily,NA,oyster_density
Buccinoidea,Neogastropoda,urn:lsid:marinespecies.org:taxname:382214,NA,NA,Superfamily,NA,oyster_density
Olivoidea,Neogastropoda,urn:lsid:marinespecies.org:taxname:411805,NA,NA,Superfamily,NA,oyster_density
Turbinelloidea,Neogastropoda,urn:lsid:marinespecies.org:taxname:988101,NA,NA,Superfamily,NA,oyster_density
Volutoidea,Neogastropoda,urn:lsid:marinespecies.org:taxname:1055738,NA,NA,Superfamily,NA,oyster_density
Cerithioidea,Caenogastropoda incertae sedis,urn:lsid:marinespecies.org:taxname:14769,NA,NA,Superfamily,NA,oyster_density
Triphoroidea,Caenogastropoda incertae sedis,urn:lsid:marinespecies.org:taxname:14780,NA,NA,Superfamily,NA,oyster_density
Epitonioidea,Caenogastropoda incertae sedis,urn:lsid:marinespecies.org:taxname:14781,NA,NA,Superfamily,NA,oyster_density
Littorinoidea,Littorinimorpha,urn:lsid:marinespecies.org:taxname:14766,NA,NA,Superfamily,NA,oyster_density
Rissooidea,Littorinimorpha,urn:lsid:marinespecies.org:taxname:14767,NA,NA,Superfamily,NA,oyster_density
Stromboidea,Littorinimorpha,urn:lsid:marinespecies.org:taxname:14770,NA,NA,Superfamily,NA,oyster_density
Cypraeoidea,Littorinimorpha,urn:lsid:marinespecies.org:taxname:14774,NA,NA,Superfamily,NA,oyster_density
Naticoidea,Littorinimorpha,urn:lsid:marinespecies.org:taxname:14776,NA,NA,Superfamily,NA,oyster_density
Tonnoidea,Littorinimorpha,urn:lsid:marinespecies.org:taxname:14777,NA,NA,Superfamily,NA,oyster_density
Calyptraeoidea,Littorinimorpha,urn:lsid:marinespecies.org:taxname:387334,NA,NA,Superfamily,NA,oyster_density
Vanikoroidea,Littorinimorpha,urn:lsid:marinespecies.org:taxname:387336,NA,NA,Superfamily,NA,oyster_density
Cingulopsoidea,Littorinimorpha,urn:lsid:marinespecies.org:taxname:387337,NA,NA,Superfamily,NA,oyster_density
Velutinoidea,Littorinimorpha,urn:lsid:marinespecies.org:taxname:387339,NA,NA,Superfamily,NA,oyster_density
Vermetoidea,Littorinimorpha,urn:lsid:marinespecies.org:taxname:387340,NA,NA,Superfamily,NA,oyster_density
Truncatelloidea,Littorinimorpha,urn:lsid:marinespecies.org:taxname:722756,NA,NA,Superfamily,NA,oyster_density
Nacelloidea,Nacellida,urn:lsid:marinespecies.org:taxname:391062,NA,NA,Superfamily,NA,oyster_density
Lottioidea,Nacellida,urn:lsid:marinespecies.org:taxname:391063,NA,NA,Superfamily,NA,oyster_density
Nodipecten nodosus,Nodipecten,urn:lsid:marinespecies.org:taxname:225252,NA,NA,Species,NA,oyster_density
Argopecten irradians,Argopecten,urn:lsid:marinespecies.org:taxname:156817,NA,NA,Species,NA,oyster_density
Argopecten purpuratus,Argopecten,urn:lsid:marinespecies.org:taxname:394269,NA,NA,Species,NA,oyster_density
Mimachlamys varia,Mimachlamys,urn:lsid:marinespecies.org:taxname:236719,NA,NA,Species,NA,oyster_density
Cerastoderma edule,Cerastoderma,urn:lsid:marinespecies.org:taxname:138998,NA,NA,Species,NA,oyster_density
Cerastoderma glaucum,Cerastoderma,urn:lsid:marinespecies.org:taxname:138999,NA,NA,Species,NA,oyster_density
Architectonicidae,Architectonicoidea,urn:lsid:marinespecies.org:taxname:22989,NA,NA,Family,NA,oyster_density
Rissoelloidea,Acteonimorpha,urn:lsid:marinespecies.org:taxname:15141,NA,NA,Superfamily,NA,oyster_density
Acteonoidea,Acteonimorpha,urn:lsid:marinespecies.org:taxname:382223,NA,NA,Superfamily,NA,oyster_density
Nudipleura,Ringipleura,urn:lsid:marinespecies.org:taxname:411966,NA,NA,Superorder,NA,oyster_density
Cephalaspidea,Tectipleura,urn:lsid:marinespecies.org:taxname:154,NA,NA,Order,NA,oyster_density
Sacoglossa,Tectipleura,urn:lsid:marinespecies.org:taxname:167,NA,NA,Superorder,NA,oyster_density
Hygrophila,Tectipleura,urn:lsid:marinespecies.org:taxname:382243,NA,NA,Superorder,NA,oyster_density
Pylopulmonata,Tectipleura,urn:lsid:marinespecies.org:taxname:1057457,NA,NA,Superorder,NA,oyster_density
Aplysiida,Tectipleura,urn:lsid:marinespecies.org:taxname:1058953,NA,NA,Order,NA,oyster_density
Neritidae,Neritoidea,urn:lsid:marinespecies.org:taxname:13588,NA,NA,Family,NA,oyster_density
Fissurellidae,Fissurelloidea,urn:lsid:marinespecies.org:taxname:111,NA,NA,Family,NA,oyster_density
Trochidae,Trochoidea,urn:lsid:marinespecies.org:taxname:443,NA,NA,Family,NA,oyster_density
Turbinidae,Trochoidea,urn:lsid:marinespecies.org:taxname:503,NA,NA,Family,NA,oyster_density
Phasianellidae,Trochoidea,urn:lsid:marinespecies.org:taxname:151267,NA,NA,Family,NA,oyster_density
Calliostomatidae,Trochoidea,urn:lsid:marinespecies.org:taxname:382180,NA,NA,Family,NA,oyster_density
Areneidae,Trochoidea,urn:lsid:marinespecies.org:taxname:413480,NA,NA,Family,NA,oyster_density
Skeneidae,Trochoidea,urn:lsid:marinespecies.org:taxname:558146,NA,NA,Family,NA,oyster_density
Tegulidae,Trochoidea,urn:lsid:marinespecies.org:taxname:715868,NA,NA,Family,NA,oyster_density
Muricidae,Muricoidea,urn:lsid:marinespecies.org:taxname:148,NA,NA,Family,NA,oyster_density
Turridae,Conoidea,urn:lsid:marinespecies.org:taxname:152,NA,NA,Family,NA,oyster_density
Conidae,Conoidea,urn:lsid:marinespecies.org:taxname:14107,NA,NA,Family,NA,oyster_density
Mangeliidae,Conoidea,urn:lsid:marinespecies.org:taxname:153853,NA,NA,Family,NA,oyster_density
Pseudomelatomidae,Conoidea,urn:lsid:marinespecies.org:taxname:411814,NA,NA,Family,NA,oyster_density
Buccinidae,Buccinoidea,urn:lsid:marinespecies.org:taxname:149,NA,NA,Family,NA,oyster_density
Nassariidae,Buccinoidea,urn:lsid:marinespecies.org:taxname:151,NA,NA,Family,NA,oyster_density
Columbellidae,Buccinoidea,urn:lsid:marinespecies.org:taxname:23009,NA,NA,Family,NA,oyster_density
Fasciolariidae,Buccinoidea,urn:lsid:marinespecies.org:taxname:23038,NA,NA,Family,NA,oyster_density
Pisaniidae,Buccinoidea,urn:lsid:marinespecies.org:taxname:1054108,NA,NA,Family,NA,oyster_density
Olividae,Olivoidea,urn:lsid:marinespecies.org:taxname:23082,NA,NA,Family,NA,oyster_density
Vasidae,Turbinelloidea,urn:lsid:marinespecies.org:taxname:196299,NA,NA,Family,NA,oyster_density
Cystiscidae,Volutoidea,urn:lsid:marinespecies.org:taxname:23023,NA,NA,Family,NA,oyster_density
Marginellidae,Volutoidea,urn:lsid:marinespecies.org:taxname:23025,NA,NA,Family,NA,oyster_density
Volutidae,Volutoidea,urn:lsid:marinespecies.org:taxname:23141,NA,NA,Family,NA,oyster_density
Granulinidae,Volutoidea,urn:lsid:marinespecies.org:taxname:1355325,NA,NA,Family,NA,oyster_density
Turritellidae,Cerithioidea,urn:lsid:marinespecies.org:taxname:127,NA,NA,Family,NA,oyster_density
Cerithiidae,Cerithioidea,urn:lsid:marinespecies.org:taxname:128,NA,NA,Family,NA,oyster_density
Litiopidae,Cerithioidea,urn:lsid:marinespecies.org:taxname:23065,NA,NA,Family,NA,oyster_density
Planaxidae,Cerithioidea,urn:lsid:marinespecies.org:taxname:23097,NA,NA,Family,NA,oyster_density
Potamididae,Cerithioidea,urn:lsid:marinespecies.org:taxname:23100,NA,NA,Family,NA,oyster_density
Scaliolidae,Cerithioidea,urn:lsid:marinespecies.org:taxname:23114,NA,NA,Family,NA,oyster_density
Modulidae,Cerithioidea,urn:lsid:marinespecies.org:taxname:196285,NA,NA,Family,NA,oyster_density
Batillariidae,Cerithioidea,urn:lsid:marinespecies.org:taxname:370444,NA,NA,Family,NA,oyster_density
Cerithiopsidae,Triphoroidea,urn:lsid:marinespecies.org:taxname:130,NA,NA,Family,NA,oyster_density
Triphoridae,Triphoroidea,urn:lsid:marinespecies.org:taxname:131,NA,NA,Family,NA,oyster_density
Epitoniidae,Epitonioidea,urn:lsid:marinespecies.org:taxname:132,NA,NA,Family,NA,oyster_density
Littorinidae,Littorinoidea,urn:lsid:marinespecies.org:taxname:119,NA,NA,Family,NA,oyster_density
Skeneopsidae,Littorinoidea,urn:lsid:marinespecies.org:taxname:1741,NA,NA,Family,NA,oyster_density
Rissoidae,Rissooidea,urn:lsid:marinespecies.org:taxname:123,NA,NA,Family,NA,oyster_density
Rissoinidae,Rissooidea,urn:lsid:marinespecies.org:taxname:722757,NA,NA,Family,NA,oyster_density
Zebinidae,Rissooidea,urn:lsid:marinespecies.org:taxname:877987,NA,NA,Family,NA,oyster_density
Strombidae,Stromboidea,urn:lsid:marinespecies.org:taxname:23123,NA,NA,Family,NA,oyster_density
Ovulidae,Cypraeoidea,urn:lsid:marinespecies.org:taxname:1747,NA,NA,Family,NA,oyster_density
Cypraeidae,Cypraeoidea,urn:lsid:marinespecies.org:taxname:23022,NA,NA,Family,NA,oyster_density
Naticidae,Naticoidea,urn:lsid:marinespecies.org:taxname:145,NA,NA,Family,NA,oyster_density
Bursidae,Tonnoidea,urn:lsid:marinespecies.org:taxname:22995,NA,NA,Family,NA,oyster_density
Cassidae,Tonnoidea,urn:lsid:marinespecies.org:taxname:22999,NA,NA,Family,NA,oyster_density
Cymatiidae,Tonnoidea,urn:lsid:marinespecies.org:taxname:196332,NA,NA,Family,NA,oyster_density
Calyptraeidae,Calyptraeoidea,urn:lsid:marinespecies.org:taxname:141,NA,NA,Family,NA,oyster_density
Eulimidae,Vanikoroidea,urn:lsid:marinespecies.org:taxname:135,NA,NA,Family,NA,oyster_density
Eatoniellidae,Cingulopsoidea,urn:lsid:marinespecies.org:taxname:196894,NA,NA,Family,NA,oyster_density
Velutinidae,Velutinoidea,urn:lsid:marinespecies.org:taxname:143,NA,NA,Family,NA,oyster_density
Vermetidae,Vermetoidea,urn:lsid:marinespecies.org:taxname:23139,NA,NA,Family,NA,oyster_density
Hydrobiidae,Truncatelloidea,urn:lsid:marinespecies.org:taxname:120,NA,NA,Family,NA,oyster_density
Assimineidae,Truncatelloidea,urn:lsid:marinespecies.org:taxname:121,NA,NA,Family,NA,oyster_density
Caecidae,Truncatelloidea,urn:lsid:marinespecies.org:taxname:126,NA,NA,Family,NA,oyster_density
Vitrinellidae,Truncatelloidea,urn:lsid:marinespecies.org:taxname:153704,NA,NA,Family,NA,oyster_density
Bithyniidae,Truncatelloidea,urn:lsid:marinespecies.org:taxname:182697,NA,NA,Family,NA,oyster_density
Cochliopidae,Truncatelloidea,urn:lsid:marinespecies.org:taxname:411706,NA,NA,Family,NA,oyster_density
Tateidae,Truncatelloidea,urn:lsid:marinespecies.org:taxname:722759,NA,NA,Family,NA,oyster_density
Nacellidae,Nacelloidea,urn:lsid:marinespecies.org:taxname:23075,NA,NA,Family,NA,oyster_density
Lottiidae,Lottioidea,urn:lsid:marinespecies.org:taxname:7173,NA,NA,Family,NA,oyster_density
Eoacmaeidae,Lottioidea,urn:lsid:marinespecies.org:taxname:411583,NA,NA,Family,NA,oyster_density
Rissoellidae,Rissoelloidea,urn:lsid:marinespecies.org:taxname:1743,NA,NA,Family,NA,oyster_density
Acteonidae,Acteonoidea,urn:lsid:marinespecies.org:taxname:155,NA,NA,Family,NA,oyster_density
Nudibranchia,Nudipleura,urn:lsid:marinespecies.org:taxname:1762,NA,NA,Order,NA,oyster_density
Doridida,Nudipleura,urn:lsid:marinespecies.org:taxname:1829294,NA,NA,Order,NA,oyster_density
Philinoidea,Cephalaspidea,urn:lsid:marinespecies.org:taxname:196322,NA,NA,Superfamily,NA,oyster_density
Bulloidea,Cephalaspidea,urn:lsid:marinespecies.org:taxname:411887,NA,NA,Superfamily,NA,oyster_density
Haminoeoidea,Cephalaspidea,urn:lsid:marinespecies.org:taxname:411892,NA,NA,Superfamily,NA,oyster_density
Cylichnoidea,Cephalaspidea,urn:lsid:marinespecies.org:taxname:943487,NA,NA,Superfamily,NA,oyster_density
Plakobranchoidea,Sacoglossa,urn:lsid:marinespecies.org:taxname:411959,NA,NA,Superfamily,NA,oyster_density
Lymnaeoidea,Hygrophila,urn:lsid:marinespecies.org:taxname:489336,NA,NA,Superfamily,NA,oyster_density
Pyramidelloidea,Pylopulmonata,urn:lsid:marinespecies.org:taxname:14714,NA,NA,Superfamily,NA,oyster_density
Aplysioidea,Aplysiida,urn:lsid:marinespecies.org:taxname:225490,NA,NA,Superfamily,NA,oyster_density
Neritininae,Neritidae,urn:lsid:marinespecies.org:taxname:411639,NA,NA,Subfamily,NA,oyster_density
Fissurellideinae,Fissurellidae,urn:lsid:marinespecies.org:taxname:224320,NA,NA,Subfamily,NA,oyster_density
Cantharidinae,Trochidae,urn:lsid:marinespecies.org:taxname:382171,NA,NA,Subfamily,NA,oyster_density
Umboniinae,Trochidae,urn:lsid:marinespecies.org:taxname:382177,NA,NA,Subfamily,NA,oyster_density
