from,to,node_name,rank,definition,tree_name
FUNCTIONAL:SAV,FUNCTIONAL:MACROPHYTES,Submerged Aquatic Vegetation,NA,"Rooted, vascular plants that grow underwater or just up to the
 water’s surface, often forming large stands or beds.",macrophytes
FUNCTIONAL:MACROALGAE,FUNCTIONAL:MACROPHYTES,Macroalgae,NA,"Large, multicellular marine algae, also known as seaweed.",macrophytes
FUNCTIONAL:NONMARINESAV,FUNCTIONAL:SAV,Non-marine SAV,NA,SAV species found primarily in brackish to freshwater habitats.,macrophytes
FUNCTIONAL:SEAGRASS,FUNCTIONAL:SAV,Seagrass,NA,SAV species found in brackish to saline marine environments.,macrophytes
APHIA:801,FUNCTIONAL:MACROALGAE,Chlorophyta,Phylum (Division),NA,macrophytes
APHIA:852,FUNCTIONAL:MACROALGAE,Rhodophyta,Phylum (Division),NA,macrophytes
APHIA:830,FUNCTIONAL:MACROALGAE,Phaeophyceae,Class,NA,macrophytes
APHIA:196239,FUNCTIONAL:NONMARINESAV,Potamogetonaceae,Family,NA,macrophytes
APHIA:234029,FUNCTIONAL:NONMARINESAV,Ruppiaceae,Family,NA,macrophytes
APHIA:143768,FUNCTIONAL:SEAGRASS,Cymodoceaceae,Family,NA,macrophytes
APHIA:143751,FUNCTIONAL:SEAGRASS,Hydrocharitaceae,Family,NA,macrophytes
APHIA:143769,FUNCTIONAL:SEAGRASS,Posidoniaceae,Family,NA,macrophytes
APHIA:143770,FUNCTIONAL:SEAGRASS,Zosteraceae,Family,NA,macrophytes
APHIA:1304953,APHIA:801,Chlorophytina,Subphylum (Subdivision),NA,macrophytes
APHIA:493826,APHIA:852,Eurhodophytina,Subphylum (Subdivision),NA,macrophytes
APHIA:1304855,APHIA:830,Dictyotophycidae,Subclass,NA,macrophytes
APHIA:1304856,APHIA:830,Fucophycidae,Subclass,NA,macrophytes
APHIA:416210,APHIA:196239,Potamogeton,Genus,NA,macrophytes
APHIA:416221,APHIA:196239,Zannichellia,Genus,NA,macrophytes
APHIA:588572,APHIA:196239,Stuckenia,Genus,NA,macrophytes
APHIA:234030,APHIA:234029,Ruppia,Genus,NA,macrophytes
APHIA:144231,APHIA:143768,Cymodocea,Genus,NA,macrophytes
APHIA:206309,APHIA:143768,Syringodium,Genus,NA,macrophytes
APHIA:205141,APHIA:143768,Halodule,Genus,NA,macrophytes
APHIA:205656,APHIA:143768,Thalassodendron,Genus,NA,macrophytes
APHIA:1473916,APHIA:143768,Oceana,Genus,NA,macrophytes
APHIA:144192,APHIA:143751,Halophila,Genus,NA,macrophytes
APHIA:206854,APHIA:143751,Thalassia,Genus,NA,macrophytes
APHIA:205672,APHIA:143751,Enhalus,Genus,NA,macrophytes
APHIA:144232,APHIA:143769,Posidonia,Genus,NA,macrophytes
APHIA:144233,APHIA:143770,Zostera,Genus,NA,macrophytes
APHIA:146216,APHIA:1304953,Ulvophyceae,Class,NA,macrophytes
APHIA:368670,APHIA:493826,Florideophyceae,Class,NA,macrophytes
APHIA:839,APHIA:1304855,Dictyotales,Order,NA,macrophytes
APHIA:844,APHIA:1304856,Fucales,Order,NA,macrophytes
APHIA:842,APHIA:1304856,Ectocarpales,Order,NA,macrophytes
APHIA:416212,APHIA:416210,Potamogeton perfoliatus,Species,NA,macrophytes
APHIA:416222,APHIA:416221,Zannichellia palustris,Species,NA,macrophytes
APHIA:715997,APHIA:416221,Zannichellia major,Species,NA,macrophytes
APHIA:588573,APHIA:588572,Stuckenia pectinata,Species,NA,macrophytes
APHIA:234031,APHIA:234030,Ruppia maritima,Species,NA,macrophytes
APHIA:416218,APHIA:234030,Ruppia cirrhosa,Species,NA,macrophytes
APHIA:145793,APHIA:144231,Cymodocea nodosa,Species,NA,macrophytes
APHIA:208921,APHIA:144231,Cymodocea rotundata,Species,NA,macrophytes
APHIA:374715,APHIA:206309,Syringodium filiforme,Species,NA,macrophytes
APHIA:374716,APHIA:206309,Syringodium isoetifolium,Species,NA,macrophytes
APHIA:208924,APHIA:205141,Halodule uninervis,Species,NA,macrophytes
APHIA:208925,APHIA:205141,Halodule wrightii,Species,NA,macrophytes
APHIA:626404,APHIA:205141,Halodule pinifolia,Species,NA,macrophytes
APHIA:1533045,APHIA:205141,Halodule emarginata,Species,NA,macrophytes
APHIA:220228,APHIA:205656,Thalassodendron ciliatum,Species,NA,macrophytes
APHIA:1473917,APHIA:1473916,Oceana serrulata,Species,NA,macrophytes
APHIA:145713,APHIA:144192,Halophila decipiens,Species,NA,macrophytes
APHIA:145714,APHIA:144192,Halophila stipulacea,Species,NA,macrophytes
APHIA:208930,APHIA:144192,Halophila ovalis,Species,NA,macrophytes
APHIA:374722,APHIA:144192,Halophila engelmannii,Species,NA,macrophytes
APHIA:208931,APHIA:206854,Thalassia hemprichii,Species,NA,macrophytes
APHIA:374720,APHIA:206854,Thalassia testudinum,Species,NA,macrophytes
APHIA:208932,APHIA:205672,Enhalus acoroides,Species,NA,macrophytes
APHIA:145794,APHIA:144232,Posidonia oceanica,Species,NA,macrophytes
APHIA:495077,APHIA:144233,Zostera marina,Species,NA,macrophytes
APHIA:495081,APHIA:144233,Zostera muelleri,Species,NA,macrophytes
APHIA:495082,APHIA:144233,Zostera noltii,Species,NA,macrophytes
APHIA:593702,APHIA:144233,Zostera nigricaulis,Species,NA,macrophytes
APHIA:808,APHIA:146216,Bryopsidales,Order,NA,macrophytes
APHIA:18815,APHIA:146216,Dasycladales,Order,NA,macrophytes
APHIA:813,APHIA:146216,Cladophorales,Order,NA,macrophytes
APHIA:827,APHIA:146216,Ulvales,Order,NA,macrophytes
APHIA:824,APHIA:146216,Ulotrichales,Order,NA,macrophytes
APHIA:368687,APHIA:368670,Corallinophycidae,Subclass,NA,macrophytes
APHIA:196243,APHIA:368670,Rhodymeniophycidae,Subclass,NA,macrophytes
APHIA:143716,APHIA:839,Dictyotaceae,Family,NA,macrophytes
APHIA:143725,APHIA:844,Sargassaceae,Family,NA,macrophytes
APHIA:143723,APHIA:844,Fucaceae,Family,NA,macrophytes
APHIA:143717,APHIA:842,Ectocarpaceae,Family,NA,macrophytes
