scientific_id,taxonomic_id,taxonomic_id_type,rank,kingdom,subkingdom,phylum_division,subphylum_subdivision,class,subclass,order,family,subfamily,tribe,genus,species,infrakingdom,superorder,phylum,subphylum,superclass,infraclass,suborder,infraorder,superfamily,parvorder,subterclass,section,subsection,infraphylum,parvphylum,gigaclass,subgenus,forma,megaclass
APHIA:51,51,aphia,Phylum,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
APHIA:55,55,aphia,Class,Animalia,NA,NA,NA,Polyplacophora,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
APHIA:101,101,aphia,Class,Animalia,NA,NA,NA,Gastropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
APHIA:105,105,aphia,Class,Animalia,NA,NA,NA,Bivalvia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
APHIA:111,111,aphia,Family,Animalia,NA,NA,NA,Gastropoda,Vetigastropoda,Lepetellida,Fissurellidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Fissurelloidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
APHIA:120,120,aphia,Family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Littorinimorpha,Hydrobiidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Truncatelloidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
APHIA:123,123,aphia,Family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Littorinimorpha,Rissoidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Rissooidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
APHIA:126,126,aphia,Family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Littorinimorpha,Caecidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Truncatelloidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
APHIA:127,127,aphia,family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Caenogastropoda incertae sedis,Turritellidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Cerithioidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
APHIA:128,128,aphia,Family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Caenogastropoda incertae sedis,Cerithiidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Cerithioidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
