protocol,table_id,level,column_name,data_type,missing_values
Darwin Core,event_darwin_core_obis,3,eventID,STRING,
Darwin Core,event_darwin_core_obis,3,parentEventID,STRING,
Darwin Core,event_darwin_core_obis,3,decimalLatitude,DOUBLE,
Darwin Core,event_darwin_core_obis,3,decimalLongitude,DOUBLE,
Darwin Core,event_darwin_core_obis,3,geodeticDatum,STRING,
Darwin Core,event_darwin_core_obis,3,coordinateUncertaintyInMeters,DOUBLE,
Darwin Core,event_darwin_core_obis,3,footprintWKT,STRING,
Darwin Core,event_darwin_core_obis,3,countryCode,STRING,
Darwin Core,event_darwin_core_obis,3,eventDate,STRING,
Darwin Core,event_darwin_core_obis,3,bibliographicCitation,STRING,
Darwin Core,event_darwin_core_obis,3,datasetID,STRING,
Darwin Core,event_darwin_core_obis,3,datasetName,STRING,
Darwin Core,event_darwin_core_obis,3,fieldNotes,STRING,
Darwin Core,event_darwin_core_obis,3,habitat,STRING,
Darwin Core,event_darwin_core_obis,3,institutionCode,STRING,
Darwin Core,event_darwin_core_obis,3,institutionID,STRING,
Darwin Core,event_darwin_core_obis,3,license,STRING,
Darwin Core,event_darwin_core_obis,3,maximumDepthInMeters,DOUBLE,
Darwin Core,event_darwin_core_obis,3,minimumDepthInMeters,DOUBLE,
Darwin Core,event_darwin_core_obis,3,rightsHolder,STRING,
Darwin Core,event_darwin_core_obis,3,samplingProtocol,STRING,
Darwin Core,event_darwin_core_obis,3,sampleSizeUnit,STRING,
Darwin Core,event_darwin_core_obis,3,sampleSizeValue,STRING,
Darwin Core,occurrence_darwin_core_obis,3,eventID,STRING,
Darwin Core,occurrence_darwin_core_obis,3,occurrenceID,STRING,
Darwin Core,occurrence_darwin_core_obis,3,scientificName,STRING,
Darwin Core,occurrence_darwin_core_obis,3,scientificNameID,STRING,
Darwin Core,occurrence_darwin_core_obis,3,basisOfRecord,STRING,
Darwin Core,occurrence_darwin_core_obis,3,occurrenceStatus,STRING,
Darwin Core,occurrence_darwin_core_obis,3,identificationQualifier,STRING,
Darwin Core,occurrence_darwin_core_obis,3,identifiedBy,STRING,
Darwin Core,occurrence_darwin_core_obis,3,recordedBy,STRING,
Darwin Core,occurrence_darwin_core_obis,3,vernacularName,STRING,
Darwin Core,occurrence_darwin_core_obis,3,kingdom,STRING,
Darwin Core,occurrence_darwin_core_obis,3,phylum,STRING,
Darwin Core,occurrence_darwin_core_obis,3,class,STRING,
Darwin Core,occurrence_darwin_core_obis,3,order,STRING,
Darwin Core,occurrence_darwin_core_obis,3,family,STRING,
Darwin Core,occurrence_darwin_core_obis,3,genus,STRING,
Darwin Core,occurrence_darwin_core_obis,3,taxonRank,STRING,
Darwin Core,emof_darwin_core_obis,3,eventID,STRING,
Darwin Core,emof_darwin_core_obis,3,occurrenceID,STRING,
Darwin Core,emof_darwin_core_obis,3,measurementID,STRING,
Darwin Core,emof_darwin_core_obis,3,measurementType,STRING,
Darwin Core,emof_darwin_core_obis,3,measurementUnit,STRING,
Darwin Core,emof_darwin_core_obis,3,measurementValue,STRING,
Darwin Core,emof_darwin_core_obis,3,measurementAccuracy,STRING,
Darwin Core,emof_darwin_core_obis,3,measurementDeterminedBy,STRING,
Darwin Core,emof_darwin_core_obis,3,measurementDeterminedDate,STRING,
Darwin Core,emof_darwin_core_obis,3,measurementMethod,STRING,
Darwin Core,emof_darwin_core_obis,3,measurementTypeID,STRING,
Darwin Core,emof_darwin_core_obis,3,measurementUnitID,STRING,
Darwin Core,emof_darwin_core_obis,3,measurementValueID,STRING,
