protocol,table_id,level,column_name,data_type,missing_values,uuid_identity
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,sample_event_id,STRING,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,diver,STRING,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,buddy,STRING,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,site_code,STRING,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,site_name,STRING,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,latitude,DOUBLE,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,longitude,DOUBLE,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,date,DATE,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,vis,STRING,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,direction,STRING,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,time,STRING,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,photoquadrats,STRING,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,depth,DOUBLE,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,method,TINYINT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,block,TINYINT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,code,STRING,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,species,STRING,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,taxonomic_id,INT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,common_name,STRING,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,total,INT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,inverts,INT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,2.5,INT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,5,INT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,7.5,INT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,10,INT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,12.5,INT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,15,INT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,20,INT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,25,INT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,30,INT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,35,INT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,40,INT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,50,INT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,62.5,INT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,75,INT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,87.5,INT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,100,INT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,112.5,INT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,125,INT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,137.5,INT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,150,INT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,162.5,INT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,175,INT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,187.5,INT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,200,INT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,250,INT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,300,INT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,350,INT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,400,INT,,
Reef Life Survey,reef-life-survey-data-marinegeo-v1,2,input_filename,STRING,,
