protocol,table_id,level,column_name,data_type,missing_values
Oyster Experiment 2025,oyster-2025-oyster-height,2,input_filename,STRING,
Oyster Experiment 2025,oyster-2025-bivalve-height,2,sample_event_id,STRING,
Oyster Experiment 2025,oyster-2025-bivalve-height,2,partner_code,STRING,
Oyster Experiment 2025,oyster-2025-bivalve-height,2,site_name,STRING,
Oyster Experiment 2025,oyster-2025-bivalve-height,2,reef_code,STRING,
Oyster Experiment 2025,oyster-2025-bivalve-height,2,biobox_latitude,DOUBLE,
Oyster Experiment 2025,oyster-2025-bivalve-height,2,biobox_longitude,DOUBLE,
Oyster Experiment 2025,oyster-2025-bivalve-height,2,retrieval_date,DATE,
Oyster Experiment 2025,oyster-2025-bivalve-height,2,scientific_name,STRING,
Oyster Experiment 2025,oyster-2025-bivalve-height,2,height_mm,STRING,
Oyster Experiment 2025,oyster-2025-bivalve-height,2,sample_height_notes,STRING,
Oyster Experiment 2025,oyster-2025-bivalve-height,2,input_filename,STRING,
Oyster Experiment 2025,oyster-2025-weight,2,sample_event_id,STRING,
Oyster Experiment 2025,oyster-2025-weight,2,partner_code,STRING,
Oyster Experiment 2025,oyster-2025-weight,2,site_name,STRING,
Oyster Experiment 2025,oyster-2025-weight,2,reef_code,STRING,
Oyster Experiment 2025,oyster-2025-weight,2,biobox_latitude,DOUBLE,
Oyster Experiment 2025,oyster-2025-weight,2,biobox_longitude,DOUBLE,
Oyster Experiment 2025,oyster-2025-weight,2,retrieval_date,DATE,
Oyster Experiment 2025,oyster-2025-weight,2,empty_bucket_kg,DOUBLE,
Oyster Experiment 2025,oyster-2025-weight,2,bivalves_and_bucket_kg,DOUBLE,
Oyster Experiment 2025,oyster-2025-weight,2,bivalve_kg,DOUBLE,
Oyster Experiment 2025,oyster-2025-weight,2,bivalve_weight_notes,STRING,
Oyster Experiment 2025,oyster-2025-weight,2,input_filename,STRING,
Oyster Experiment 2025,oyster-2025-count,2,sample_event_id,STRING,
Oyster Experiment 2025,oyster-2025-count,2,partner_code,STRING,
Oyster Experiment 2025,oyster-2025-count,2,site_name,STRING,
Oyster Experiment 2025,oyster-2025-count,2,reef_code,STRING,
Oyster Experiment 2025,oyster-2025-count,2,biobox_latitude,DOUBLE,
Oyster Experiment 2025,oyster-2025-count,2,biobox_longitude,DOUBLE,
Oyster Experiment 2025,oyster-2025-count,2,retrieval_date,DATE,
Oyster Experiment 2025,oyster-2025-count,2,scientific_name,STRING,
Oyster Experiment 2025,oyster-2025-count,2,count,INT,
Oyster Experiment 2025,oyster-2025-count,2,sample_count_notes,STRING,
Oyster Experiment 2025,oyster-2025-count,2,input_filename,STRING,
Oyster Experiment 2025,oyster-2025-mobile-fauna,2,sample_event_id,STRING,
Oyster Experiment 2025,oyster-2025-mobile-fauna,2,partner_code,STRING,
Oyster Experiment 2025,oyster-2025-mobile-fauna,2,site_name,STRING,
