table_id,column_name,range_type,max_fail,min_fail,max_warn,min_warn
oyster-transect-metadata-monitoring-v1,transect,inclusive,,0,3,
oyster-transect-metadata-monitoring-v1,transect_begin_decimal_latitude,inclusive,180,-180,,
oyster-transect-metadata-monitoring-v1,transect_begin_decimal_longitude,inclusive,180,-180,,
oyster-transect-metadata-monitoring-v1,transect_end_decimal_latitude,inclusive,180,-180,,
oyster-transect-metadata-monitoring-v1,transect_end_decimal_longitude,inclusive,180,-180,,
oyster-transect-metadata-monitoring-v1,transect_length_m,inclusive,,0,50,
oyster-transect-metadata-monitoring-v1,depth_min_m,,,,,
oyster-transect-metadata-monitoring-v1,depth_max_m,,,,,
oyster-habitat-complexity-monitoring-v1,transect,inclusive,,0,3,1
oyster-habitat-complexity-monitoring-v1,quadrat,inclusive,,,30,0
oyster-habitat-complexity-monitoring-v1,chain_length_m,inclusive,,0,30,
oyster-habitat-complexity-monitoring-v1,chain_distance_m,inclusive,,0,30,
oyster-habitat-complexity-monitoring-v1,rugosity,inclusive,1,0,,
oyster-habitat-complexity-monitoring-v1,max_cluster_height_cm,inclusive,,0,100,
oyster-length-monitoring-v1,transect,inclusive,,0,3,1
oyster-length-monitoring-v1,quadrat,inclusive,,,30,0
oyster-length-monitoring-v1,height_mm,inclusive,,0,355,
oyster-count-monitoring-v1,transect,inclusive,,0,3,1
oyster-count-monitoring-v1,quadrat,inclusive,,,30,0
oyster-count-monitoring-v1,count,,,,100,0
oyster-biobox-monitoring-v1,biobox_latitude,inclusive,180,-180,,
oyster-biobox-monitoring-v1,biobox_longitude,inclusive,180,-180,,
oyster-biobox-monitoring-v1,biobox_id,inclusive,,0,3,
oyster-biobox-monitoring-v1,biobox_count,inclusive,,0,100,
oyster-substrate-composition-monitoring-v1,transect,inclusive,,0,3,1
oyster-substrate-composition-monitoring-v1,quadrat,inclusive,,,30,0
oyster-substrate-composition-monitoring-v1,point_count,inclusive,,,81,
oyster-substrate-composition-monitoring-v1,points_in_quadrat,inclusive,,,81,
oyster-substrate-composition-monitoring-v1,percent_cover,inclusive,,,100,
